about,address,email,facebook,friday_dinner,friday_lunch,friday_tables,instagram,mon_thu_dinner,mon_thu_lunch,mon_thu_tables,name,pdf_urls,phone,saturday_dinner,saturday_lunch,saturday_tables,slug,sunday_dinner,sunday_lunch,sunday_tables,url,videos,website
"S ituated on the banks of the historic Singapore River, Grand Copthorne Waterfront Hotel Singapore offers a romantic and nostalgic setting for your wedding. Imagine the gentle river breeze and the lilting sounds of a classical symphony. Imagine beautiful floral accents and an elegant wedding reception. Imagine weddings on the waterfront. A unique alfresco wedding venue, The Promenade offers a setting where you will be exchanging vows in a romantically dressed gazebo amidst quintessential fairytale setting, whilst your guests wine and dine in a casual cocktail reception or a fine dining setting beneath the starry night. An impressive 850 square metres, column-free Grand Ballroom with its towering six-metre-high ceiling and a unique glass wall revealing a beautifully landscaped garden and gazebo, is a favourite choice for an elegant setting. Accommodating up to 800 guests in a cocktail reception setting or 650 guests in a sit-down banquet setting, the Grand Ballroom’s advanced sound and ",392 Havelock Road,weddings.gcw@millenniumhotels.com,https://www.facebook.com/GrandCopthorne,$2743–$2863,$2288–$2408,10–65,https://www.instagram.com/grandcopthorne/,$2288–$2408,$2288–$2408,10–65,Grand Copthorne Waterfront Hotel Singapore,"[""https://singaporebrides.com/d/system/documents/contents/000/001/638/original/Grand_Copthorne_Waterfront_Wedding_Packages_2026.pdf?1765529345"", ""https://singaporebrides.com/d/system/documents/contents/000/001/639/original/Grand_Copthorne_Waterfront_Malay_Wedding_Packages_2026.pdf?1765529370""]",6233 1199,$2743–$2863,$2288–$2408,10–65,grand-copthorne-waterfront-hotel,$2743–$2863,$2288–$2408,10–65,https://singaporebrides.com/d/grand-copthorne-waterfront-hotel/,,https://www.millenniumhotels.com/en/weddings/asia/singapore/grand-copthorne-waterfront/
"Y OU HAD ME AT HYATT Every couple dreams of the perfect wedding. Here at Grand Hyatt Singapore we share that dream and work with our couples to make it a reality. Success lies in the details, no matter how large or small, our wonderful team of wedding planners are here to help you every step of the way. Grand Hyatt Singapore is the perfect wedding venue for your special day. The hotel’s grand experience combines superb food, refined service, attention to detail and a strong emphasis on customer care that will make your celebration an everlasting memory for you and your guests. Knowing that no two weddings are the same, we believe in offering every couple the option of customizing their wedding through a wide selection of “wedding wishes”. Our dedicated wedding team will be on hand to guide you through the planning process and ensure that every detail of your special day is exactly as you dreamed. With over 5,100 square metres of event space, Grand Hyatt Singapore’s 16 individual venues",10 Scotts Road,weddings.sg@hyatt.com,https://www.facebook.com/GrandHyattSingapore/,$2384–$2743,$2384–$2743,15–36,https://www.instagram.com/grandhyattsing/,$2384–$2743,$2384–$2743,15–36,Grand Hyatt Singapore,"[""https://singaporebrides.com/d/system/documents/contents/000/001/713/original/20260410_-_Your_Wedding_Your_Way_Package_eBrochure.pdf?1776064497"", ""https://singaporebrides.com/d/system/documents/contents/000/001/517/original/Grand_Hyatt_Singapore-2026_Lunch-Wedding_Brochure.pdf?1742177519"", ""https://singaporebrides.com/d/system/documents/contents/000/001/518/original/Grand_Hyatt_Singapore-2026_Dinner-Wedding_Brochure.pdf?1742177539"", ""https://singaporebrides.com/d/system/documents/contents/000/001/640/original/Grand_Hyatt_Singapore_-_2026_Wedding_Digital_Brochure_Halal_Lunch.pdf?1766133497"", ""https://singaporebrides.com/d/system/documents/contents/000/001/641/original/Grand_Hyatt_Singapore_-_2026_Wedding_Digital_Brochure_Halal_Dinner.pdf?1766133517"", ""https://singaporebrides.com/d/system/documents/contents/000/001/642/original/Grand_Hyatt_Singapore_-_2026_Wedding_Digital_Brochure_Indian_Lunch.pdf?1766133539"", ""https://singaporebrides.com/d/system/documents/contents/000/001/643/original/Grand_Hyatt_Singapore_-_2026_Wedding_Digital_Brochure_Indian_Dinner.pdf?1766133552"", ""https://singaporebrides.com/d/system/documents/contents/000/001/679/original/Grand_Hyatt_Singapore_wedding_chinese_lunch_package_2027.pdf?1772414138"", ""https://singaporebrides.com/d/system/documents/contents/000/001/680/original/Grand_Hyatt_Singapore_wedding_chinese_dinner_package_2027.pdf?1772414160"", ""https://singaporebrides.com/d/system/documents/contents/000/001/681/original/Grand_Hyatt_Singapore_wedding_halal_lunch_package_2027.pdf?1772414208"", ""https://singaporebrides.com/d/system/documents/contents/000/001/682/original/Grand_Hyatt_Singapore_wedding_halal_dinner_package_2027.pdf?1772414227"", ""https://singaporebrides.com/d/system/documents/contents/000/001/683/original/Grand_Hyatt_Singapore_wedding_indian_lunch_package_2027.pdf?1772414260"", ""https://singaporebrides.com/d/system/documents/contents/000/001/684/original/Grand_Hyatt_Singapore_wedding_indian_dinner_package_2027.pdf?1772414282""]",6416 7373,$2743–$2983,$2384–$2743,15–36,grand-hyatt-singapore,$2504–$2863,$2384–$2743,15–36,https://singaporebrides.com/d/grand-hyatt-singapore/,,http://singapore.grand.hyatt.com/en/hotel/weddings.html?src=prop_nplk_singaporebridesDirectory_2015
"L ocated in the heart of heritage-rich Katong, Grand Mercure Singapore Roxy is an elegant choice for couples seeking a wedding that is both grand and personal. The newly refurbished East Coast Ballroom features high ceilings and ambient lighting, providing a versatile space that can host up to 350 guests. The hotel is also situated just steps away from the Marine Parade MRT Station (TE26), providing easy accessibility for all your guests. Diversity is at the core of our service; our experienced team specialises in hosting Chinese, Malay and Indian weddings. With a Halal-certified kitchen, we offer fully customisable menus ranging from traditional Malay wedding feasts to high-quality Chinese Muslim cuisine that caters to your specific palate and dietary needs. Jia Wei Chinese Restaurant For couples who prefer a more close-knit celebration, Jia Wei Chinese Restaurant, offers an intimate alternative to a ballroom setting. Located on level 2, the restaurant’s interior creates a warm, priva","50 East Coast Road, Roxy Square",H3610-FB7@accor.com,https://www.facebook.com/GrandMercureRoxy,$1664–$1784,$1664–$1784,3–32,https://www.instagram.com/grandmercuresingaporeroxy/,$1664–$1784,$1664–$1784,3–32,Grand Mercure Singapore Roxy,"[""https://singaporebrides.com/d/system/documents/contents/000/001/651/original/Wedding_Menu_Jia_Wei_%281%29.pdf?1769576625""]",6340 5640,$1664–$1784,$1664–$1784,3–32,grand-mercure-singapore-roxy,$1664–$1784,$1664–$1784,3–32,https://singaporebrides.com/d/grand-mercure-singapore-roxy/,,https://www.grandmercureroxy.com.sg/meetings-events/wedding-packages/
"O ld world charm meets modern luxury at Grand Park City Hall. The neoclassical designed hotel presents an array of unique outdoor and indoor wedding venues to truly offer a one-of-a-kind wedding experience. Tucked away from the hustle and bustle of City Hall, the Rooftop Sky Garden and Tablescape accommodate up to 120 persons, and makes for an idyllic setting for wedding couples to exchange vows and say ‘I do’ with the surrounding nature and dreamy water fountains in the background. A private dining room at Tablescape Restaurant and the private gardens located in the top-tiered suites cater to intimate bridal showers or wedding ceremonies for 10 persons. As one of the most unique wedding hotels in Singapore, you'll be one step closer to transforming your dream wedding into reality with the help of our dedicated wedding specialists.",10 Coleman Street,sales.gpch@parkhotelgroup.com,https://www.facebook.com/grandparkcityhall,$1894–$2134,$1894–$2134,3–9,https://www.instagram.com/grandparkcityhall,$1894–$2134,$1894–$2134,3–9,Grand Park City Hall,"[""https://singaporebrides.com/d/system/documents/contents/000/001/177/original/GPCH_Rooftop___Suite_Wedding_Package_2026.pdf?1767680548""]",6336 3456,$1894–$2134,$1894–$2134,3–9,grand-park-city-hall,$1894–$2134,$1894–$2134,3–9,https://singaporebrides.com/d/grand-park-city-hall/,,https://www.parkhotelgroup.com/singapore/grand-park-city-hall/weddings?utm_source=sgbrides&utm_medium=online&utm_campaign=sg-brides-directory
,"390 Havelock Road, King's Centre
Level 1",restaurant@grandshanghai.com.sg,,$2120–$3096,$2120–$3096,15–25,,$2120–$3096,$2120–$3096,15–25,Grand Shanghai,,6836 6866,$2120–$3096,$2120–$3096,15–25,,$2120–$3096,$2120–$3096,15–25,,,
"Y our wedding deserves the finest venue with an incomparable level of service and there is no better choice than Hilton Singapore Orchard, an inspiring landmark hotel with a premier address right in the heart of Orchard Road. The hotel’s uniquely designed and pillarless ballrooms which cater up to 900 guests are fitted with stunning LED walls and will present every couple the perfect backdrop for the most charming, unique and elegant bridal venue. For a more intimate wedding, The Manor is a wedding venue unlike any other and accommodates up to 120 persons. Presenting an exclusive, designer-inspired botanical enclave, this one-of-a-kind wedding venue is an interconnected space comprising seven beautifully appointed rooms and communal areas thoughtfully designed to offer a variety of customisable spaces for pre-wedding preparations, solemnisations and sit-down dinners. Complemented with a naturesque and botanical-inspired setting featuring an inviting landscaped indoor garden illuminated",333 Orchard Road,hiltonsingaporeorchard.weddings@hilton.com,,$2504–$2504,$2504–$2504,12–80,,$2504–$2504,$2504–$2504,12–80,Hilton Singapore Orchard,"[""https://singaporebrides.com/d/system/documents/contents/000/001/652/original/Hilton_Singapore_Orchard_Wedding_Brochure_2026.pdf?1769677726""]",6737 4411,$2863–$2863,$2504–$2504,12–80,new-hilton-singapore-orchard,$2504–$2504,$2504–$2504,12–80,https://singaporebrides.com/d/new-hilton-singapore-orchard/,,
"An Intimate and Elegant Venue Perfect For Wedding Celebration At Holiday Inn Express & Suites Singapore Novena, our team is ready to tailor-make incredible and memorable cosmopolitan experiences in the heart of Singapore, bringing the best of dining and entertainment experiences. Celebrate your wedding in the sleek and cosy Sugarcane Room which perfectly deliver an intimate celebration, with capacity up to 160 pax and comes with full glass windows, offering natural daylight and/ moonlight. Share your dreams with our experienced wedding planners who will be delighted to craft and tailor your wedding package to suit your requirements. Choose from our exclusive wedding packages complete with lavish menus, fabulous perks and personalized services.",201 Balestier Road,contact@hiexsnovena.com,https://www.facebook.com/HolidayInnExpressSuitesSingaporeNovena/,$1352–$1352,$1352–$1352,10–16,https://www.instagram.com/holidayinnexpresssuitesnovena/,$1352–$1352,$1352–$1352,10–16,Holiday Inn Express & Suites Singapore Novena,"[""https://singaporebrides.com/d/system/documents/contents/000/001/562/original/Wedding_Brochure_20262027.pdf?1772604275""]",6355 9988,$1592–$1592,$1352–$1352,10–16,holiday-inn-express-suites-singapore-novena,$1592–$1592,$1352–$1352,10–16,https://singaporebrides.com/d/holiday-inn-express-suites-singapore-novena/,,https://www.ihg.com/holidayinnexpress/hotels/us/en/singapore/sinov/hoteldetail
"S ituated just a 3-minute walk from Havelock MRT Station, Holiday Inn Singapore Atrium ensures direct MRT access from Orchard, Outram, Marina Bay, and Woodlands, allowing your guests to arrive with ease and comfort! Choose from a range of newly refurbished ballrooms that cater to everything from intimate solemnisations and grand weddings of up to 40 tables. Each space is equipped with: &nbsp;&nbsp;&nbsp;&nbsp;• AV system with laser projectors and intelligent lighting &nbsp;&nbsp;&nbsp;&nbsp;• Live streaming capability so loved ones near or far can join in &nbsp;&nbsp;&nbsp;&nbsp;• A choice of themed décor — rustic, romantic, or oriental You’ll enjoy peace of mind with thoughtful touches such as: &nbsp;&nbsp;&nbsp;&nbsp;• A complimentary bridal suite with breakfast for the couple &nbsp;&nbsp;&nbsp;&nbsp;• Halal-certified and vegetarian menu options to suit every preference &nbsp;&nbsp;&nbsp;&nbsp;• The choice to host your celebration at Xin Cuisine Chinese Restaurant for a more intimate",317 Outram Road,weddings.sinhi@ihg.com,https://www.facebook.com/hiatrium/,$1758–$1758,$1758–$1758,8–40,https://www.instagram.com/holidayinnsgatrium/,$1758–$1758,$1758–$1758,8–40,Holiday Inn Singapore Atrium,"[""https://singaporebrides.com/d/system/documents/contents/000/001/603/original/Wedding_Brochure_2026-2027.pdf?1764642735"", ""https://singaporebrides.com/d/system/documents/contents/000/001/470/original/Malay_Wedding_Package_2026__2027.pdf?1764642747"", ""https://singaporebrides.com/d/system/documents/contents/000/001/471/original/Indian_Wedding_Package_2026__2027.pdf?1764642759""]",6731 7159,$1958–$1958,$1758–$1758,8–40,holiday-inn-singapore-atrium,$1958–$1958,$1758–$1758,8–40,https://singaporebrides.com/d/holiday-inn-singapore-atrium/,,https://singaporeatrium.holidayinn.com/weddings
"H oliday Inn Singapore Orchard City Centre offers a fresh take on weddings, where cherished traditions meet contemporary style. Perfect for couples seeking a balance between heritage and personal flair, our hotel wedding packages are crafted to create celebrations filled with warmth, elegance, and joy. Our Crystal Ballroom is a true showstopper, featuring a breathtaking cascading crystal chandelier that bathes the room in a romantic glow. With space for up to 380 guests, it combines sophistication with a welcoming ambience. Planning an intimate celebration? Our Stay Intimate package requires a minimum of just 05 tables. The ideal choice for couples dreaming of an intimate wedding in Singapore without compromising on elegance. Let us bring your vision to life and create a celebration as timeless as your vows and as vibrant as your future together. Contact our Wedding Specialists at +65 6733 8333 | [email&#160;protected] Virtual Tour: Ballroom",11 Cavenagh Road,weddings.hisinorchard@ihg.com,https://www.facebook.com/HolidayInnOrchardCityCentre/,$1784–$1784,$1784–$1784,10–35,https://www.instagram.com/holidayinnsporeorchardcityctr/,$1784–$1784,$1784–$1784,10–35,Holiday Inn Singapore Orchard City Centre,,6730 0122,$1964–$1964,$1784–$1784,10–35,holiday-inn-singapore-orchard-city-centre,$1964–$1964,$1784–$1784,10–35,https://singaporebrides.com/d/holiday-inn-singapore-orchard-city-centre/,,https://singaporeorchard.holidayinn.com/weddings
"T he Fullerton Hotel Singapore Create memories to last a lifetime at The Fullerton Hotel Singapore, which has been gazetted as Singapore’s 71st National Monument. Your celebration of romance begins on the historic grounds of The Fullerton Hotel, where old world charm meets contemporary elegance. Nestled by the Singapore River with a majestic Palladian façade, The Fullerton Hotel exudes heritage and grandeur, providing the perfect setting for your lavish banquet or intimate wedding solemnisation. The Ballroom With sweeping staircases, The Ballroom at The Fullerton Hotel Singapore guarantees a refined entrance that is superbly grand - befitting of wedding couples, luminaries and official guests. Located at the lower lobby, its elegant décor and ambience sets the stage for your most important occasions. The Ballroom can accommodate up to 480 guests in a banquet setting and has a large adjoining pre-function area that is ideal for a cocktail prior to the main event. The Ballroom can also b","1 Fullerton Square, Singapore 049178",weddings@fullertonhotel.com,https://www.facebook.com/TheFullertonHotel/,$2374–$2374,$2254–$2254,10–12,https://www.instagram.com/fullertonhotelsg/,$2374–$2374,$2254–$2254,10–12,Jade @ The Fullerton Hotel Singapore,,6877 8188,$2494–$2494,$2254–$2254,10–12,the-fullerton-hotel-singapore,$2374–$2374,$2254–$2254,10–12,https://singaporebrides.com/d/the-fullerton-hotel-singapore/,,https://www.fullertonhotels.com/
"M emorable Weddings at JEN Singapore Tanglin by Shangri-La An intimate affair that is sheer magic, full of elegance and enchantment. These are the makings of a memorable wedding at JEN Singapore Tanglin by Shangri-La. The hotel's Wedding Planner will personally be on hand to create an evening to remember. From a traditional wedding banquet to modern interpretations of romance portrayed in the menu, decorations, flowers and table settings. This is the forte of the wedding team at JEN Singapore Tanglin by Shangri-La when it comes to celebratory events of such momentous proportions. For solemnisations and weddings, depending on the size of your event, there are several venues available and the largest, The Gallery, cater to a maximum of 280 guests. There are three wedding packages to choose from. Start from the basic weekday package encompassing the stunning and delightful trappings of a fine wedding celebration to a lavish and elaborate affair fit for the king and queen of the day. Custo",1A Cuscaden Road,events.hjts@hoteljen.com,https://www.facebook.com/JenSingaporeTanglin,$1904–$2144,$1724–$2144,15–28,https://www.instagram.com/hoteljentanglin/,$1904–$2144,$1724–$2144,15–28,JEN Singapore Tanglin by Shangri-La,,6831 4315,$1904–$2144,$1724–$2144,15–28,jen-singapore-tanglin-by-shangri-la,$1904–$2144,$1724–$2144,15–28,https://singaporebrides.com/d/jen-singapore-tanglin-by-shangri-la/,,https://www.hoteljen.com/singapore/tanglin/about/
"H eritage, design and legendary service come together in the Grand Ballroom to create distinct weddings of sophisticated luxury at JW Marriott Singapore South Beach. Your wedding celebration starts with our commitment and focus on Quality, Trust and Exemplary Service. Our exquisite venues have aligned with expert protocols to feature refined floorplans and capacity to deliver a memorable celebration. A memorable event awaits with curated wedding packages for Lunch and Dinner celebrations. Make your wedding one of distinction with the inspired Grand Ballroom and exquisite menus curated by our culinary team that will be talked about for years to come. Explore various wedding perks we have to offer, and earn yourself a honeymoon in one of our Marriott properties across the world with Marriott Bonvoy. Located at the heart of JW Marriott Singapore South Beach, the Grand Ballroom can host up to 320 guests and is housed in a conserved heritage building complete with main ballroom, pre-functio",30 Beach Road,jw.sinjw.weddings@marriott.com,https://www.facebook.com/JWMarriottSG/reviews/,$3093–$3093,$2854–$2854,22–33,https://www.instagram.com/jwmarriottsg/,$2974–$2974,$2854–$2854,22–33,JW Marriott Hotel Singapore South Beach,"[""https://singaporebrides.com/d/system/documents/contents/000/001/504/original/JWM_Wedding_eBrochure_2026.pdf?1768380511"", ""https://singaporebrides.com/d/system/documents/contents/000/001/649/original/JWM_Wedding_eBrochure_2027.pdf?1772608136""]",6818 1900,$3333–$3333,$3093–$3093,22–33,jw-marriott-singapore-south-beach,$3093–$3093,$3093–$3093,22–33,https://singaporebrides.com/d/jw-marriott-singapore-south-beach/,"[""https://youtu.be/xkhA3Qg0Xrw"", ""https://streamable.com/rcq5p"", ""https://streamable.com/y5v0t""]",https://www.jwmarriottsingapore.com/
,"541 Orchard Road, 
#05-01",banquet@tunglok.com,,$597–$837,$597–$837,9–13,,$597–$837,$597–$837,9–13,LingZhi Vegetarian (Liat Towers),,6337 2055,$597–$837,$597–$837,9–13,,$597–$837,$597–$837,9–13,,,
"S ay 'Yes' to a lavish wedding held at Mandai Rainforest Resort by Banyan Tree. Be surrounded by the lush greenery as you say 'I Do', and exchange your vows where the soft melodies of the rainforest and presence of native wildlife create a truly immersive experience. With exclusive spaces that can be configured to your specific needs, exquisite customised Western or Chinese menus, and a dedicated team to take care of every detail; leave your special occasion to us, and be assured of an unforgettable wedding that embodies nature connection, elegance with the magic of biophilia-inspired architecture.",60 Mandai Lake Road,events-mandairainforest@banyantree.com,https://www.facebook.com/MandaiRainforestResortByBanyanTree,$2863–$3103,$2743–$3103,15–30,https://www.instagram.com/mandairainforestresort/,$2863–$2863,$2743–$2983,15–30,Mandai Rainforest Resort by Banyan Tree,"[""https://singaporebrides.com/d/system/documents/contents/000/001/708/original/Wedding_Packages_September_2025_V3_Web_withInsert_4MB.pdf?1774578141""]",6038 3939,$2983–$3223,$2743–$3223,15–30,mandai-rainforest-resort-by-banyan-tree,$2863–$3103,$2743–$3103,15–30,https://singaporebrides.com/d/mandai-rainforest-resort-by-banyan-tree/,,https://www.banyantree.com/singapore/mandai-rainforest-resort-by-banyan-tree
"W edding is a once in a lifetime affair and Mandarin Oriental, Singapore knows best on how to create the most impressive wedding banquet and leave such wonderful memories, that the couple will relish for the rest of their lives. The Oriental Ballroom - shaped gracefully as a fan and pillarless, guests can enjoy an uninterrupted view spanning the entire room. Luxurious handcrafted fabrics and fixtures adorn the ballroom, exuding warmth and grandeur in an understated manner. Wedding couples will have the perfect bridal march-in as the ballroom is fitted out with a state-of-the-art surround sound system. Mandarin Oriental, Singapore unveils wedding themes that are poetically created to suit each couple's preference. Each theme encompasses specially hand-picked or customized items from luscious fabrics, exquisite utensils and fresh flowers to music, wedding invitations and favours. There are also new dishes concocted by our team of experienced chefs to complement the auspicious occasion. A",5 Raffles Avenue,mosin-weddings@mohg.com,https://www.facebook.com/MandarinOrientalSingapore/,$2743–$2743,$2504–$2504,10–35,https://www.instagram.com/mo_singapore/,$2743–$2743,$2504–$2504,10–35,Mandarin Oriental Singapore,"[""https://singaporebrides.com/d/system/documents/contents/000/001/512/original/SGBrides__MOSIN_Wedding_Package_2026.pdf?1748310958"", ""https://singaporebrides.com/d/system/documents/contents/000/001/591/original/Exceptional_Weddings_Chef_Fei_Brochure.pdf?1754886152""]",6885 3488,$2983–$2983,$2623–$2623,10–35,mandarin-oriental-singapore,$2743–$2743,$2504–$2504,10–35,https://singaporebrides.com/d/mandarin-oriental-singapore/,,http://www.mandarinoriental.com/singapore
,10 Bayfront Avenue,celebrations@marinabaysands.com,,$3453–$3453,$2854–$2854,5–150,,$3453–$3453,$2854–$2854,5–150,Marina Bay Sands,,6688 3133,$3453–$3453,$2854–$2854,5–150,,$3453–$3453,$2854–$2854,5–150,,,
"W elcome to Mercure Singapore Bugis Hotel, where dreams come true and unforgettable memories are made. Our exceptional banquet and wedding package, combined with our world-class facilities, ensure that your special day is nothing short of perfection. Nestled in the heart of vibrant Bugis, our hotel offers a sophisticated and elegant setting for your wedding celebration. Our dedicated team of wedding planners will work closely with you to create a personalized event that reflects your unique style and vision. From intimate ceremonies to grand receptions, we have the perfect venue to accommodate your needs. Our banquet halls - Queen Ballroom can easily accommodate up to 120 people and transformed to match your desired theme. With state-of-the-art audiovisual equipment and impeccable service, we guarantee a seamless and memorable experience for you and your guests. To complement our exceptional venues, we offer a range of delectable wedding menu curated by our talented culinary team from ",122 Middle Road,Priscilla.TOH@accor.com,https://www.facebook.com/MercureSingaporeBugis/,$1760–$1760,$1520–$1520,3–12,https://www.instagram.com/mercuresingaporebugis/,$1520–$1520,$1520–$1520,3–12,Mercure Singapore Bugis,"[""https://singaporebrides.com/d/system/documents/contents/000/001/508/original/Mercure_Singapore_Bugis_Wedding_Brochure_2025.pdf?1737354131""]",6521 6088,$1760–$1760,$1640–$1640,3–12,mercure-singapore-bugis,$1760–$1760,$1640–$1640,3–12,https://singaporebrides.com/d/mercure-singapore-bugis/,,https://www.mercure-singapore-bugis.com/meetings-events/wedding-solemnizations/
"A mid the timeless greenery of Fort Canning Park, METT Singapore offers more than a wedding venue. It is a storybook escape where heritage and lifestyle come together, and every detail is designed to reflect the way you want to celebrate. Housed in a beautifully restored colonial landmark with 86 elegant rooms, it is a place where vows find harmony where celebrations feel eternal and where every memory become a legacy. From intimate garden moments to grand ballroom receptions, our curated wedding packages give you the freedom to choose the experience that feels most like your story. Each celebration is complemented by refined dining, serene suites and the warmth of METT, ensuring a day that is stylish, personal and unforgettable. Here, love begins in harmony, continues with eternal joy and leaves a legacy to be remembered forever.",11 Canning Walk,events.singapore@metthotelsandresorts.com,,$2264–$4662,$2144–$4422,12–40,https://www.instagram.com/mettsingapore/,$2264–$4662,$2144–$4422,12–40,METT Singapore,"[""https://singaporebrides.com/d/system/documents/contents/000/001/626/original/METT_Singapore_Wedding_Package_2026.pdf?1762836297""]",6799 8800,$2623–$4662,$2384–$4422,12–40,mett-singapore,$2623–$4662,$2384–$4422,12–40,https://singaporebrides.com/d/mett-singapore/,,https://www.metthotelsandresorts.com/singapore/
"Now & Forever @ M as we understand you deserve the best on your most special day. Experience the magic and exclusivity of being a M Wedding couple when we plan your big day with your needs in mind. Elegantly designed and lavishly furnished, be drawn into the grandeur Banquet Suite featuring the mesmerising chandelier or intimate Anson Room with a long aisle. Both venues are capable of seating 320 guests. Well-appointed with essential amenities, the adjoining VIP lounge of the Banquet Suite is also the place to be decked out in your finest for the magnificent evening ahead. After the wedding celebration, continue the romance and step into the comfort of a Bridal Suite beautifully adorned for your first night together. Be in for a sensual surprise showcasing a romantic delightful Jacuzzi. Let us capture the moment of your lifetime with our state-of-the-art technology, exciting culinary creations, expert planning and dedicated services from our wedding specialists. For a memorable wedding",81 Anson Road,mywedding.mhs@millenniumhotels.com,https://www.facebook.com/mhotelsingapore/,$1904–$2024,$1784–$1904,12–32,https://www.instagram.com/mhotelsingapore/,$1904–$2024,$1784–$1904,12–32,M Hotel Singapore City Centre,"[""https://singaporebrides.com/d/system/documents/contents/000/001/206/original/MHS_Wedding_Package_2025___2026.pdf?1747312555""]",6500 6211,$2024–$2144,$1904–$2024,12–32,m-hotel-singapore,$2024–$2144,$1904–$2024,12–32,https://singaporebrides.com/d/m-hotel-singapore/,,http://www.m-hotel.com/
,323 Alexandra Road,askme.mhas@momentushotels.com,,$1535–$1904,$1535–$1664,3–10,,$1535–$1664,$1535–$1664,3–10,Momentus Hotel Alexandra,,6828 8888,$1535–$1904,$1535–$1664,3–10,,$1535–$1904,$1535–$1664,3–10,,,
"Celebrate Love at the Peak: Singapore's Ultimate Hilltop Wedding Destination Create blissful memories with a romantic hilltop wedding at Mount Faber Peak. Our stunning venues blend natural beauty with elegant design, offering breathtaking city and harbour views. Whether for a grand wedding dinner or an intimate solemnisation, our exceptional spaces will elevate your special moments. The Ballroom (Up to 200 guests) Host a stunning celebration with floor-to-ceiling glass windows and a private balcony, that offers panoramic views of the harbour. It’s a perfect backdrop for stunning wedding photos that will create unforgettable memories for both day time and evening celebrations. Angsana Glasshouse (Up to 70 guests) For a truly intimate celebration, the Angsana Glasshouse is a one-of-a-kind choice. Perched at the highest point of Mount Faber Peak, this air-conditioned, glass-walled alcove offers supreme sea views. Its gold ceiling casts a natural glow, making it a magical setting for your ",109 Mount Faber Road,events@mflg.com.sg,https://www.facebook.com/mountfaberleisure,$2014–$2014,$1775–$1775,4–20,https://www.instagram.com/mountfaberdining,$2014–$2014,$1775–$1775,4–20,Mount Faber Peak,"[""https://singaporebrides.com/d/system/documents/contents/000/001/149/original/Ballroom_Wedding_Kit.pdf?1757642476"", ""https://singaporebrides.com/d/system/documents/contents/000/001/604/original/AGH_Wedding_Kit.pdf?1757642496"", ""https://singaporebrides.com/d/system/documents/contents/000/001/150/original/Arbora_Wedding_Kit.pdf?1757642511"", ""https://singaporebrides.com/d/system/documents/contents/000/001/151/original/Dusk_Wedding_Kit.pdf?1757642529""]",6377 9688,$2014–$2014,$1775–$1775,4–20,mount-faber-peak,$2014–$2014,$1775–$1775,4–20,https://singaporebrides.com/d/mount-faber-peak/,,https://mountfaberdining.com/pages/weddings
"E mbark on a starlit path towards your forever, where the cosmos aligns to celebrate your love. Our dedicated wedding team at Novotel Singapore on Stevens is here to craft a celebration as unique as the constellations, making every moment a reflection of your dreams. Nestled within a serene blend of lush greenery and urban convenience, our venue spaces offer an otherworldly setting for your special day. Whether you're envisioning an intimate gathering or a grand celestial celebration, our team ensures that every detail is flawlessly executed with a touch of timeless elegance. Picture your guests mingling over canapés and cocktails under the twinkling stars at the enchanting Milkyway Foyer—a prelude to a night of pure magic. Then, step into our breathtaking pillarless Polaris Ballroom, where its lofty ceilings and sophisticated ambiance create the perfect stage for up to 320 guests to witness your love story unfold under the stars. At Novotel Singapore on Stevens, we transform your wedd",28 Stevens Road,H9543-SC1@accor.com,https://www.facebook.com/NovotelSingaporeStevens/,$2084–$2623,$1424–$1904,10–32,https://www.instagram.com/novotelstevens/,$1644–$2144,$1424–$1904,10–32,Novotel Singapore on Stevens,"[""https://singaporebrides.com/d/system/documents/contents/000/001/550/original/Constellation_Wedding_Package.pdf?1759208919"", ""https://singaporebrides.com/d/system/documents/contents/000/001/551/original/Galactical_Wedding_Package_.pdf?1759208721"", ""https://singaporebrides.com/d/system/documents/contents/000/001/607/original/Nova_Wedding_Package.pdf?1759208981"", ""https://singaporebrides.com/d/system/documents/contents/000/001/608/original/Solemnisation_x_L&#39;Aperitif.pdf?1759209007"", ""https://singaporebrides.com/d/system/documents/contents/000/001/609/original/Food_Exchange_Wedding_Package.pdf?1759209035"", ""https://singaporebrides.com/d/system/documents/contents/000/001/611/original/Winestone_Wedding_Package.pdf?1759209103"", ""https://singaporebrides.com/d/system/documents/contents/000/001/490/original/2025_2026_Indian_Wedding_Novotel_Singapore_on_Stevens_.pdf?1751421564"", ""https://singaporebrides.com/d/system/documents/contents/000/001/610/original/Wedding_Venue_Only_Package.pdf?1759209063""]",6491 6100,$2084–$2623,$1844–$2384,10–32,novotel-singapore-on-stevens,$2084–$2623,$1844–$2384,10–32,https://singaporebrides.com/d/novotel-singapore-on-stevens,,https://www.novotel-singapore-stevens.com/weddings/?utm_source=website&utm_medium=novotel
,100 Peck Seah Street,sales.ohd@fareast.com.sg,,$2080–$2080,$1880–$1880,3–6,,$2080–$2080,$1880–$1880,3–6,Oasia Hotel Downtown,,6812 6991,$2080–$2080,$1880–$1880,3–6,,$2080–$2080,$1880–$1880,3–6,,,
